Unnamed: 0,title,artist,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
2541,Addicted To You,Avicii,4eDYMhIin1pSLIG96f1aD0,0.569,0.785,1,-4.057,0,0.0457,0.0505,1.12e-06,0.086,0.303,128.031,audio_features,4eDYMhIin1pSLIG96f1aD0,spotify:track:4eDYMhIin1pSLIG96f1aD0,https://api.spotify.com/v1/tracks/4eDYMhIin1pSLIG96f1aD0,https://api.spotify.com/v1/audio-analysis/4eDYMhIin1pSLIG96f1aD0,148387,4
2543,Just Say Yes,Snow Patrol,7EEpVPYeW8Ycaw2SlP1u7f,0.535,0.883,9,-5.456,1,0.033,0.0214,1.17e-05,0.0276,0.253,108.02,audio_features,7EEpVPYeW8Ycaw2SlP1u7f,spotify:track:7EEpVPYeW8Ycaw2SlP1u7f,https://api.spotify.com/v1/tracks/7EEpVPYeW8Ycaw2SlP1u7f,https://api.spotify.com/v1/audio-analysis/7EEpVPYeW8Ycaw2SlP1u7f,281987,4
2544,Watermensen,3JS,6ZOLGdoaFgkMF27m3o7TN6,0.479,0.3,2,-13.136,1,0.0297,0.607,0.0,0.0955,0.52,143.891,audio_features,6ZOLGdoaFgkMF27m3o7TN6,spotify:track:6ZOLGdoaFgkMF27m3o7TN6,https://api.spotify.com/v1/tracks/6ZOLGdoaFgkMF27m3o7TN6,https://api.spotify.com/v1/audio-analysis/6ZOLGdoaFgkMF27m3o7TN6,210880,4
2545,Sky and Sand,Paul Kalkbrenner,4IsHMzDbRE8q5Z4ALsQj3o,0.791,0.329,10,-12.906,0,0.0592,0.6,0.863,0.193,0.526,127.021,audio_features,4IsHMzDbRE8q5Z4ALsQj3o,spotify:track:4IsHMzDbRE8q5Z4ALsQj3o,https://api.spotify.com/v1/tracks/4IsHMzDbRE8q5Z4ALsQj3o,https://api.spotify.com/v1/audio-analysis/4IsHMzDbRE8q5Z4ALsQj3o,230500,4
2550,tous les mêmes,Stromae,1GC1MIaRMW3kfVK9VyD5Ii,0.701,0.637,5,-9.061,0,0.166,0.223,0.00219,0.279,0.647,109.959,audio_features,1GC1MIaRMW3kfVK9VyD5Ii,spotify:track:1GC1MIaRMW3kfVK9VyD5Ii,https://api.spotify.com/v1/tracks/1GC1MIaRMW3kfVK9VyD5Ii,https://api.spotify.com/v1/audio-analysis/1GC1MIaRMW3kfVK9VyD5Ii,210933,4
2553,I Sat By The Ocean,Queens of the Stone Age,1D3YGmST01Ba0WRiT7THPG,0.516,0.78,8,-4.004,0,0.0364,0.00136,0.000715,0.11,0.899,116.794,audio_features,1D3YGmST01Ba0WRiT7THPG,spotify:track:1D3YGmST01Ba0WRiT7THPG,https://api.spotify.com/v1/tracks/1D3YGmST01Ba0WRiT7THPG,https://api.spotify.com/v1/audio-analysis/1D3YGmST01Ba0WRiT7THPG,235587,4
2554,Everybody (Backstreet's Back) - Radio Edit,Backstreet Boys,4rTeOSYqwXNz5qPR2DUTFZ,0.735,0.873,10,-3.493,0,0.0402,0.025,3.27e-06,0.265,0.586,108.021,audio_features,4rTeOSYqwXNz5qPR2DUTFZ,spotify:track:4rTeOSYqwXNz5qPR2DUTFZ,https://api.spotify.com/v1/tracks/4rTeOSYqwXNz5qPR2DUTFZ,https://api.spotify.com/v1/audio-analysis/4rTeOSYqwXNz5qPR2DUTFZ,224960,4
2556,Foolish Games,Jewel,2LflDhyBXVNrfmHxAayS3K,0.296,0.0724,5,-16.457,1,0.0374,0.945,0.000334,0.0948,0.178,131.397,audio_features,2LflDhyBXVNrfmHxAayS3K,spotify:track:2LflDhyBXVNrfmHxAayS3K,https://api.spotify.com/v1/tracks/2LflDhyBXVNrfmHxAayS3K,https://api.spotify.com/v1/audio-analysis/2LflDhyBXVNrfmHxAayS3K,340667,4
2558,Things We Lost In The Fire,Bastille,6qOxF7JKKNegcuocn14ukr,0.587,0.918,4,-4.878,0,0.0581,0.0636,0.0,0.267,0.629,134.055,audio_features,6qOxF7JKKNegcuocn14ukr,spotify:track:6qOxF7JKKNegcuocn14ukr,https://api.spotify.com/v1/tracks/6qOxF7JKKNegcuocn14ukr,https://api.spotify.com/v1/audio-analysis/6qOxF7JKKNegcuocn14ukr,240747,4
2560,The Road To Mandalay,Robbie Williams,5iWa27IZ9UyXm0TJTod0y5,0.624,0.676,5,-8.121,0,0.0291,0.111,5.68e-05,0.156,0.529,99.258,audio_features,5iWa27IZ9UyXm0TJTod0y5,spotify:track:5iWa27IZ9UyXm0TJTod0y5,https://api.spotify.com/v1/tracks/5iWa27IZ9UyXm0TJTod0y5,https://api.spotify.com/v1/audio-analysis/5iWa27IZ9UyXm0TJTod0y5,239947,4
