Unnamed: 0,title,artist,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id.1,uri,track_href,analysis_url,duration_ms,time_signature
3480,I Wish It Would Rain Down - 2016 Remaster,Phil Collins,4F2t297QK40XFcIHqkmLHs,0.51,0.667,8,-4.715,1,0.0294,0.292,0.00683,0.313,0.356,125.887,audio_features,4F2t297QK40XFcIHqkmLHs,spotify:track:4F2t297QK40XFcIHqkmLHs,https://api.spotify.com/v1/tracks/4F2t297QK40XFcIHqkmLHs,https://api.spotify.com/v1/audio-analysis/4F2t297QK40XFcIHqkmLHs,327747,4
3481,If You Don't Know Me by Now - 2008 Remaster,Simply Red,7DFawVSjI88xR9mjnWwURg,0.638,0.352,10,-9.266,1,0.0268,0.492,0.0,0.105,0.204,94.173,audio_features,7DFawVSjI88xR9mjnWwURg,spotify:track:7DFawVSjI88xR9mjnWwURg,https://api.spotify.com/v1/tracks/7DFawVSjI88xR9mjnWwURg,https://api.spotify.com/v1/audio-analysis/7DFawVSjI88xR9mjnWwURg,204000,3
3482,Free Fallin',Tom Petty,5tVA6TkbaAH9QMITTQRrNv,0.623,0.449,5,-13.333,1,0.0253,0.212,0.0,0.0613,0.572,84.383,audio_features,5tVA6TkbaAH9QMITTQRrNv,spotify:track:5tVA6TkbaAH9QMITTQRrNv,https://api.spotify.com/v1/tracks/5tVA6TkbaAH9QMITTQRrNv,https://api.spotify.com/v1/audio-analysis/5tVA6TkbaAH9QMITTQRrNv,256000,4
3483,Let Love Rule,Lenny Kravitz,2pmN85k5m9nO1rWaCDdrNE,0.689,0.452,0,-12.927,1,0.0407,0.0293,0.26,0.0672,0.696,152.814,audio_features,2pmN85k5m9nO1rWaCDdrNE,spotify:track:2pmN85k5m9nO1rWaCDdrNE,https://api.spotify.com/v1/tracks/2pmN85k5m9nO1rWaCDdrNE,https://api.spotify.com/v1/audio-analysis/2pmN85k5m9nO1rWaCDdrNE,342160,4
3203,Je Loog Tegen Mij,Drukwerk,53348QPO1Bhkd8oFABaGYK,0.621,0.35,9,-14.463,1,0.0312,0.455,0.0,0.0862,0.663,78.97,audio_features,53348QPO1Bhkd8oFABaGYK,spotify:track:53348QPO1Bhkd8oFABaGYK,https://api.spotify.com/v1/tracks/53348QPO1Bhkd8oFABaGYK,https://api.spotify.com/v1/audio-analysis/53348QPO1Bhkd8oFABaGYK,206360,3
3204,Africa,TOTO,2374M0fQpWi3dLnB54qaLX,0.671,0.373,9,-18.064,1,0.0323,0.257,8.01e-05,0.0481,0.732,92.718,audio_features,2374M0fQpWi3dLnB54qaLX,spotify:track:2374M0fQpWi3dLnB54qaLX,https://api.spotify.com/v1/tracks/2374M0fQpWi3dLnB54qaLX,https://api.spotify.com/v1/audio-analysis/2374M0fQpWi3dLnB54qaLX,295893,4
3205,Telegraph Road,Dire Straits,071BtONQBIq4SkvO0okS4k,0.381,0.592,2,-10.124,0,0.0322,0.016,0.363,0.273,0.285,124.984,audio_features,071BtONQBIq4SkvO0okS4k,spotify:track:071BtONQBIq4SkvO0okS4k,https://api.spotify.com/v1/tracks/071BtONQBIq4SkvO0okS4k,https://api.spotify.com/v1/audio-analysis/071BtONQBIq4SkvO0okS4k,858533,4
3206,Under Pressure - Remastered,Queen,11IzgLRXV7Cgek3tEgGgjw,0.671,0.711,2,-7.813,1,0.0478,0.422,0.0,0.104,0.466,113.809,audio_features,11IzgLRXV7Cgek3tEgGgjw,spotify:track:11IzgLRXV7Cgek3tEgGgjw,https://api.spotify.com/v1/tracks/11IzgLRXV7Cgek3tEgGgjw,https://api.spotify.com/v1/audio-analysis/11IzgLRXV7Cgek3tEgGgjw,248440,4
3207,Old and Wise,The Alan Parsons Project,5Jt2AQv1c3RUF5ENtAYF1i,0.375,0.317,0,-11.741,0,0.0315,0.727,2.92e-05,0.123,0.12,112.003,audio_features,5Jt2AQv1c3RUF5ENtAYF1i,spotify:track:5Jt2AQv1c3RUF5ENtAYF1i,https://api.spotify.com/v1/tracks/5Jt2AQv1c3RUF5ENtAYF1i,https://api.spotify.com/v1/audio-analysis/5Jt2AQv1c3RUF5ENtAYF1i,295253,4
3208,Private Investigations,Dire Straits,0SqUwlygrVkMWkplNvvld1,0.551,0.101,4,-20.104,0,0.0309,0.699,0.542,0.0811,0.0691,84.407,audio_features,0SqUwlygrVkMWkplNvvld1,spotify:track:0SqUwlygrVkMWkplNvvld1,https://api.spotify.com/v1/tracks/0SqUwlygrVkMWkplNvvld1,https://api.spotify.com/v1/audio-analysis/0SqUwlygrVkMWkplNvvld1,406867,4
