Unnamed: 0,title,artist,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
2906,Witchy Woman - Eagles 2013 Remaster,Eagles,436yrzQWA32vb1sTZKXg9r,0.555,0.568,2,-12.205,0,0.0341,0.364,0.00167,0.116,0.583,98.507,audio_features,436yrzQWA32vb1sTZKXg9r,spotify:track:436yrzQWA32vb1sTZKXg9r,https://api.spotify.com/v1/tracks/436yrzQWA32vb1sTZKXg9r,https://api.spotify.com/v1/audio-analysis/436yrzQWA32vb1sTZKXg9r,250889,4
2907,Song Sung Blue - Single Version,Neil Diamond,4FZ8wtTaOAbYvyChBt4GEQ,0.556,0.327,0,-15.612,1,0.0311,0.467,1.32e-05,0.318,0.327,108.913,audio_features,4FZ8wtTaOAbYvyChBt4GEQ,spotify:track:4FZ8wtTaOAbYvyChBt4GEQ,https://api.spotify.com/v1/tracks/4FZ8wtTaOAbYvyChBt4GEQ,https://api.spotify.com/v1/audio-analysis/4FZ8wtTaOAbYvyChBt4GEQ,195160,4
2909,Peaceful Easy Feeling - Eagles 2013 Remaster,Eagles,40h65HAR8COEoqkMwUUQHu,0.568,0.634,4,-12.336,1,0.0282,0.494,0.00281,0.252,0.866,142.686,audio_features,40h65HAR8COEoqkMwUUQHu,spotify:track:40h65HAR8COEoqkMwUUQHu,https://api.spotify.com/v1/tracks/40h65HAR8COEoqkMwUUQHu,https://api.spotify.com/v1/audio-analysis/40h65HAR8COEoqkMwUUQHu,257963,4
2911,Radar Love,Golden Earring,20aASiwfsbiLlaJxLiC0PQ,0.503,0.468,1,-16.829,0,0.0374,0.0256,0.00134,0.0842,0.215,102.451,audio_features,20aASiwfsbiLlaJxLiC0PQ,spotify:track:20aASiwfsbiLlaJxLiC0PQ,https://api.spotify.com/v1/tracks/20aASiwfsbiLlaJxLiC0PQ,https://api.spotify.com/v1/audio-analysis/20aASiwfsbiLlaJxLiC0PQ,385893,4
2912,Angie,The Rolling Stones,1GcVa4jFySlun4jLSuMhiq,0.429,0.554,9,-6.128,0,0.0291,0.67,0.000152,0.105,0.407,136.302,audio_features,1GcVa4jFySlun4jLSuMhiq,spotify:track:1GcVa4jFySlun4jLSuMhiq,https://api.spotify.com/v1/tracks/1GcVa4jFySlun4jLSuMhiq,https://api.spotify.com/v1/audio-analysis/1GcVa4jFySlun4jLSuMhiq,272000,4
2913,Desperado - 2013 Remaster,Eagles,2TjnCxxQRYn56Ye8gkUKiW,0.228,0.224,7,-12.749,1,0.0311,0.946,0.000222,0.273,0.18,60.3,audio_features,2TjnCxxQRYn56Ye8gkUKiW,spotify:track:2TjnCxxQRYn56Ye8gkUKiW,https://api.spotify.com/v1/tracks/2TjnCxxQRYn56Ye8gkUKiW,https://api.spotify.com/v1/audio-analysis/2TjnCxxQRYn56Ye8gkUKiW,213713,4
2916,Free Bird,Lynyrd Skynyrd,5EWPGh7jbTNO2wakv8LjUI,0.249,0.834,0,-8.21,1,0.0577,0.0738,9.48e-05,0.0924,0.338,118.223,audio_features,5EWPGh7jbTNO2wakv8LjUI,spotify:track:5EWPGh7jbTNO2wakv8LjUI,https://api.spotify.com/v1/tracks/5EWPGh7jbTNO2wakv8LjUI,https://api.spotify.com/v1/audio-analysis/5EWPGh7jbTNO2wakv8LjUI,547107,4
2919,The Great Gig in the Sky,Pink Floyd,2TjdnqlpwOjhijHCwHCP2d,0.274,0.217,5,-13.814,1,0.0345,0.767,0.896,0.0832,0.181,116.334,audio_features,2TjdnqlpwOjhijHCwHCP2d,spotify:track:2TjdnqlpwOjhijHCwHCP2d,https://api.spotify.com/v1/tracks/2TjdnqlpwOjhijHCwHCP2d,https://api.spotify.com/v1/audio-analysis/2TjdnqlpwOjhijHCwHCP2d,283872,4
2920,La Grange - 2005 Remaster,ZZ Top,70YvYr2hGlS01bKRIho1HM,0.545,0.64,4,-9.937,0,0.224,0.00249,0.0304,0.196,0.606,80.544,audio_features,70YvYr2hGlS01bKRIho1HM,spotify:track:70YvYr2hGlS01bKRIho1HM,https://api.spotify.com/v1/tracks/70YvYr2hGlS01bKRIho1HM,https://api.spotify.com/v1/audio-analysis/70YvYr2hGlS01bKRIho1HM,230480,4
2921,"Leaving, On a Jet Plane - ""Greatest Hits"" Version",John Denver,3D8dwH690MXQRhtIZTSS9c,0.406,0.188,7,-13.039,1,0.0324,0.852,0.0,0.105,0.629,120.757,audio_features,3D8dwH690MXQRhtIZTSS9c,spotify:track:3D8dwH690MXQRhtIZTSS9c,https://api.spotify.com/v1/tracks/3D8dwH690MXQRhtIZTSS9c,https://api.spotify.com/v1/audio-analysis/3D8dwH690MXQRhtIZTSS9c,245533,4
2922,Us and Them,Pink Floyd,1TKTiKp3zbNgrBH2IwSwIx,0.357,0.302,2,-14.526,1,0.0303,0.862,0.559,0.634,0.135,72.518,audio_features,1TKTiKp3zbNgrBH2IwSwIx,spotify:track:1TKTiKp3zbNgrBH2IwSwIx,https://api.spotify.com/v1/tracks/1TKTiKp3zbNgrBH2IwSwIx,https://api.spotify.com/v1/audio-analysis/1TKTiKp3zbNgrBH2IwSwIx,469224,4
2923,Firth of Fifth - New Stereo Mix,Genesis,6UpMG6BDOd5xecMTu5r3sj,0.272,0.605,11,-9.802,1,0.0373,0.023,0.0946,0.186,0.299,86.414,audio_features,6UpMG6BDOd5xecMTu5r3sj,spotify:track:6UpMG6BDOd5xecMTu5r3sj,https://api.spotify.com/v1/tracks/6UpMG6BDOd5xecMTu5r3sj,https://api.spotify.com/v1/audio-analysis/6UpMG6BDOd5xecMTu5r3sj,570987,4
2925,Sebastian - 2012 Remaster,Steve Harley & Cockney Rebel,16889jRQ2uzOeDSHaMRLIw,0.252,0.238,11,-14.212,0,0.0348,0.679,0.00357,0.0663,0.21,140.023,audio_features,16889jRQ2uzOeDSHaMRLIw,spotify:track:16889jRQ2uzOeDSHaMRLIw,https://api.spotify.com/v1/tracks/16889jRQ2uzOeDSHaMRLIw,https://api.spotify.com/v1/audio-analysis/16889jRQ2uzOeDSHaMRLIw,420653,3
