Unnamed: 0,title,artist,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
2084,Self Esteem,The Offspring,1FkoVC85Ds3mFoK0fVqEqP,0.488,0.862,0,-7.595,1,0.0476,0.0204,0.0,0.359,0.706,104.56,audio_features,1FkoVC85Ds3mFoK0fVqEqP,spotify:track:1FkoVC85Ds3mFoK0fVqEqP,https://api.spotify.com/v1/tracks/1FkoVC85Ds3mFoK0fVqEqP,https://api.spotify.com/v1/audio-analysis/1FkoVC85Ds3mFoK0fVqEqP,257827,4
2085,Aanzoek Zonder Ringen,BLØF,6Cc0qQpIw9Dzm9c9GSFjRt,0.548,0.85,2,-7.732,1,0.0351,0.0191,0.0144,0.318,0.461,159.984,audio_features,6Cc0qQpIw9Dzm9c9GSFjRt,spotify:track:6Cc0qQpIw9Dzm9c9GSFjRt,https://api.spotify.com/v1/tracks/6Cc0qQpIw9Dzm9c9GSFjRt,https://api.spotify.com/v1/audio-analysis/6Cc0qQpIw9Dzm9c9GSFjRt,283333,4
2088,This Is Not America - 2002 Remaster,David Bowie,68Xn0WzQ1wdEFMP4R5gFW6,0.715,0.674,0,-11.917,0,0.0376,0.0569,0.0033,0.0519,0.65,115.284,audio_features,68Xn0WzQ1wdEFMP4R5gFW6,spotify:track:68Xn0WzQ1wdEFMP4R5gFW6,https://api.spotify.com/v1/tracks/68Xn0WzQ1wdEFMP4R5gFW6,https://api.spotify.com/v1/audio-analysis/68Xn0WzQ1wdEFMP4R5gFW6,231427,4
2089,Times Like These,Foo Fighters,67vYdAAM3oGsEImCRfbtsF,0.376,0.908,4,-3.793,0,0.0879,1.4e-05,1.4e-05,0.241,0.266,144.581,audio_features,67vYdAAM3oGsEImCRfbtsF,spotify:track:67vYdAAM3oGsEImCRfbtsF,https://api.spotify.com/v1/tracks/67vYdAAM3oGsEImCRfbtsF,https://api.spotify.com/v1/audio-analysis/67vYdAAM3oGsEImCRfbtsF,265560,4
2090,De Vondeling Van Ameland,Boudewijn de Groot,67N7gtrmUKh7GXAJpgsp73,0.385,0.347,0,-9.899,1,0.0296,0.667,0.000313,0.108,0.157,109.967,audio_features,67N7gtrmUKh7GXAJpgsp73,spotify:track:67N7gtrmUKh7GXAJpgsp73,https://api.spotify.com/v1/tracks/67N7gtrmUKh7GXAJpgsp73,https://api.spotify.com/v1/audio-analysis/67N7gtrmUKh7GXAJpgsp73,305973,4
2092,Afscheid Nemen Bestaat Niet,Marco Borsato,665yCPVrGYYGvlnZLvbKh2,0.403,0.404,0,-8.84,1,0.03,0.03,0.0,0.0889,0.219,127.571,audio_features,665yCPVrGYYGvlnZLvbKh2,spotify:track:665yCPVrGYYGvlnZLvbKh2,https://api.spotify.com/v1/tracks/665yCPVrGYYGvlnZLvbKh2,https://api.spotify.com/v1/audio-analysis/665yCPVrGYYGvlnZLvbKh2,240173,4
2093,Blauwe Ruis,BLØF,65hR9p90SF1JUv4VCRnatj,0.521,0.701,4,-7.247,0,0.0403,0.042,0.00042,0.132,0.353,129.943,audio_features,65hR9p90SF1JUv4VCRnatj,spotify:track:65hR9p90SF1JUv4VCRnatj,https://api.spotify.com/v1/tracks/65hR9p90SF1JUv4VCRnatj,https://api.spotify.com/v1/audio-analysis/65hR9p90SF1JUv4VCRnatj,267693,4
2094,Limburg - Live,Rowwen Hèze,4A9sjHBr4QlHIpwegWCK92,0.255,0.957,2,-5.696,1,0.45,0.148,0.000328,0.723,0.17,160.302,audio_features,4A9sjHBr4QlHIpwegWCK92,spotify:track:4A9sjHBr4QlHIpwegWCK92,https://api.spotify.com/v1/tracks/4A9sjHBr4QlHIpwegWCK92,https://api.spotify.com/v1/audio-analysis/4A9sjHBr4QlHIpwegWCK92,359058,4
2097,Blaosmuziek,Gé Reinders,55yoRQK9d7GkUMRJw7Rt14,0.341,0.0978,1,-15.907,1,0.0357,0.962,0.000213,0.0932,0.171,140.266,audio_features,55yoRQK9d7GkUMRJw7Rt14,spotify:track:55yoRQK9d7GkUMRJw7Rt14,https://api.spotify.com/v1/tracks/55yoRQK9d7GkUMRJw7Rt14,https://api.spotify.com/v1/audio-analysis/55yoRQK9d7GkUMRJw7Rt14,214373,4
2099,Motorcycle Emptiness,Manic Street Preachers,6Ubz7S4IFSWVxlkMiRyMIK,0.525,0.806,4,-3.655,1,0.03,8.18e-06,0.0552,0.157,0.213,112.453,audio_features,6Ubz7S4IFSWVxlkMiRyMIK,spotify:track:6Ubz7S4IFSWVxlkMiRyMIK,https://api.spotify.com/v1/tracks/6Ubz7S4IFSWVxlkMiRyMIK,https://api.spotify.com/v1/audio-analysis/6Ubz7S4IFSWVxlkMiRyMIK,305693,4
